chromosome,interval,mean_recomb_rate
b'Pseudochr1A',10050000-12060000,0.0000000000000026491268183444996
b'Pseudochr1A',12060000-14070000,0.0000000000000028312207118899957
b'Pseudochr1A',14070000-16080000,0.000000000000003028386246339929
b'Pseudochr1A',16080000-18090000,0.000000000000003180688348342187
b'Pseudochr1A',18090000-20100000,0.0000000000000033433636720887783
b'Pseudochr1A',20100000-22110000,0.000000000000003522024451881061
b'Pseudochr1A',22110000-24120000,0.000000000000003697200396628807
b'Pseudochr1A',24120000-26130000,0.000000000000003861693218821711
b'Pseudochr1A',26130000-28140000,0.000000000000004013602535725955
b'Pseudochr1A',28140000-30150000,0.000000000000004173204905173812
b'Pseudochr1A',30150000-32160000,0.000000000000004338100495896032
b'Pseudochr1A',32160000-34170000,0.0000000000000045160784215158334
b'Pseudochr1A',34170000-36180000,0.000000000000004678403121056484
b'Pseudochr1A',36180000-38190000,0.000000000000004826928578540915
b'Pseudochr1A',38190000-40200000,0.000000000000004980208853964602
b'Pseudochr1A',40200000-42210000,0.000000000000005124440299833093
b'Pseudochr1A',42210000-44220000,0.00000000000000527062892376804
b'Pseudochr1A',44220000-46230000,0.000000000000005434046570026147
b'Pseudochr1A',46230000-48240000,0.0000000000000055984629010580085
b'Pseudochr1A',48240000-50250000,0.000000000000005777717253859627
b'Pseudochr1A',50250000-52260000,0.000000000000005967705428817846
b'Pseudochr1A',52260000-54270000,0.000000000000006203648487215172
b'Pseudochr1A',54270000-56280000,0.000000000000006541497328369992
b'Pseudochr1A',56280000-58290000,0.000000000000006808901191571605
b'Pseudochr1A',58290000-60300000,0.000000000000007147681525291938
b'Pseudochr1A',60300000-62310000,0.000000000000007388415493932183
b'Pseudochr1A',62310000-64320000,0.000000000000007748890147723757
b'Pseudochr1A',64320000-66330000,0.000000000000008376199581109822
b'Pseudochr1A',66330000-68340000,0.000000000000009254682649048161
b'Pseudochr1A',68340000-70350000,0.000000000000009859719097425497
b'Pseudochr1A',70350000-72360000,0.000000000000010570261987373192
b'Pseudochr1A',72360000-74370000,0.000000000000011092863513333171
b'Pseudochr2',0-2025000,0.0000000000000008399345312361217
b'Pseudochr2',2025000-4050000,0.000000000000001792137017777476
b'Pseudochr2',4050000-6075000,0.000000000000002390169688101039
b'Pseudochr2',6075000-8100000,0.000000000000002856493752002173
b'Pseudochr2',8100000-10125000,0.0000000000000032057420728337705
b'Pseudochr2',10125000-12150000,0.000000000000003396987866874809
b'Pseudochr2',12150000-14175000,0.0000000000000035578240401369454
b'Pseudochr2',14175000-16200000,0.000000000000003734611737534099
b'Pseudochr2',16200000-18225000,0.0000000000000038921314674378186
b'Pseudochr2',18225000-20250000,0.000000000000004033835877448656
b'Pseudochr2',20250000-22275000,0.000000000000004172220212801078
b'Pseudochr2',22275000-24300000,0.000000000000004327697228652264
b'Pseudochr2',24300000-26325000,0.000000000000004460497528073855
b'Pseudochr2',26325000-28350000,0.000000000000004601521050565488
b'Pseudochr2',28350000-30375000,0.00000000000000474919854611244
b'Pseudochr2',30375000-32400000,0.000000000000004878040013190734
b'Pseudochr2',32400000-34425000,0.000000000000005004272742405741
b'Pseudochr2',34425000-36450000,0.000000000000005153456459283624
b'Pseudochr2',36450000-38475000,0.0000000000000052906065157532415
b'Pseudochr2',38475000-40500000,0.000000000000005435783911631028
b'Pseudochr2',40500000-42525000,0.000000000000005603950126783798
b'Pseudochr2',42525000-44550000,0.00000000000000611989931824821
b'Pseudochr2',44550000-46575000,0.0000000000000066595215961584536
b'Pseudochr2',46575000-48600000,0.000000000000007570694262114795
b'Pseudochr2',48600000-50625000,0.000000000000008121213154715544
b'Pseudochr2',50625000-52650000,0.000000000000008835491361623587
b'Pseudochr2',52650000-54675000,0.000000000000009598888993506627
b'Pseudochr2',54675000-56700000,0.000000000000010032105874992024
b'Pseudochr2',56700000-58725000,0.000000000000010235001119383049
b'Pseudochr2',58725000-60750000,0.000000000000010813420057659195
b'Pseudochr2',60750000-62775000,0.000000000000011716212603695281
b'Pseudochr2',62775000-64800000,0.000000000000012623486207890846
b'Pseudochr2',64800000-66825000,0.000000000000013568895510821383
b'Pseudochr2',66825000-68850000,0.000000000000014382363050301073
b'Pseudochr2',68850000-70875000,0.000000000000014669062553511074
b'Pseudochr2',70875000-72900000,0.000000000000015119226866504483
b'Pseudochr2',72900000-74925000,0.000000000000015346614811552053
b'Pseudochr2',74925000-76950000,0.00000000000001558981098473987
b'Pseudochr2',76950000-78975000,0.000000000000015815056694795773
b'Pseudochr2',78975000-81000000,0.000000000000016000707397404004
b'Pseudochr2',81000000-83025000,0.000000000000016205889823724458
b'Pseudochr2',83025000-85050000,0.000000000000016389609059620742
b'Pseudochr2',85050000-87075000,0.000000000000016562761764597203
b'Pseudochr2',87075000-89100000,0.00000000000001673982719469204
b'Pseudochr2',89100000-91125000,0.000000000000016923692350487268
b'Pseudochr2',91125000-93150000,0.000000000000017193593476281446
b'Pseudochr2',93150000-95175000,0.000000000000017339278336460405
b'Pseudochr2',95175000-97200000,0.00000000000001749723714176351
b'Pseudochr2',97200000-99225000,0.000000000000017672115801004794
b'Pseudochr2',99225000-101250000,0.000000000000017838853548898715
b'Pseudochr2',101250000-103275000,0.00000000000001799343026638438
b'Pseudochr2',103275000-105300000,0.000000000000018168641176317832
b'Pseudochr2',105300000-107325000,0.000000000000018332843695019023
b'Pseudochr2',107325000-109350000,0.000000000000018514161715266907
b'Pseudochr2',109350000-111375000,0.000000000000018665246898103078
b'Pseudochr2',111375000-113400000,0.000000000000018860833432415114
